user,device,plug_time,unplug_time
user16,usb_2,2023-01-06 16:12:00,2023-01-06 17:41:00
user19,usb_5,2023-01-06 17:11:00,2023-01-06 17:24:00
user19,usb_2,2023-01-06 09:08:00,2023-01-06 09:46:00
user19,usb_2,2023-01-06 16:46:00,2023-01-06 18:31:00
user9,usb_2,2023-01-06 18:01:00,2023-01-06 19:34:00
user18,usb_5,2023-01-06 12:43:00,2023-01-06 13:59:00
user1,usb_4,2023-01-07 18:43:00,2023-01-07 20:11:00
user2,usb_3,2023-01-07 14:54:00,2023-01-07 15:51:00
user9,usb_1,2023-01-07 18:33:00,2023-01-07 19:37:00
user16,usb_3,2023-01-07 16:48:00,2023-01-07 16:58:00
user8,usb_1,2023-01-07 12:58:00,2023-01-07 13:56:00
user15,usb_3,2023-01-08 08:25:00,2023-01-08 08:54:00
user11,usb_1,2023-01-08 17:51:00,2023-01-08 17:59:00
user8,usb_4,2023-01-08 09:58:00,2023-01-08 10:34:00
user7,usb_2,2023-01-08 13:19:00,2023-01-08 13:32:00
user4,usb_1,2023-01-08 15:27:00,2023-01-08 17:15:00
user1,usb_5,2023-01-08 18:59:00,2023-01-08 19:46:00
user9,usb_2,2023-01-09 09:30:00,2023-01-09 10:05:00
user11,usb_1,2023-01-09 13:33:00,2023-01-09 15:19:00
user8,usb_1,2023-01-09 17:39:00,2023-01-09 18:40:00
user4,usb_4,2023-01-09 17:07:00,2023-01-09 17:22:00
user2,usb_1,2023-01-09 14:20:00,2023-01-09 16:18:00
user3,usb_2,2023-01-09 08:58:00,2023-01-09 10:45:00
user15,usb_1,2023-01-09 12:39:00,2023-01-09 14:04:00
user14,usb_1,2023-01-09 09:43:00,2023-01-09 09:55:00
user2,usb_3,2023-01-10 14:25:00,2023-01-10 14:42:00
user20,usb_4,2023-01-10 11:55:00,2023-01-10 13:16:00
user20,usb_1,2023-01-10 15:24:00,2023-01-10 16:28:00
user14,usb_5,2023-01-10 17:06:00,2023-01-10 17:54:00
user1,usb_4,2023-01-10 16:21:00,2023-01-10 17:41:00
user7,usb_1,2023-01-10 09:00:00,2023-01-10 10:21:00
user3,usb_5,2023-01-11 11:57:00,2023-01-11 13:15:00
user5,usb_5,2023-01-11 12:22:00,2023-01-11 13:20:00
user16,usb_5,2023-01-11 15:11:00,2023-01-11 15:47:00
user5,usb_1,2023-01-11 08:08:00,2023-01-11 08:52:00
user19,usb_4,2023-01-11 16:41:00,2023-01-11 18:22:00
user12,usb_3,2023-01-11 17:56:00,2023-01-11 19:10:00
user5,usb_2,2023-01-11 15:19:00,2023-01-11 16:41:00
user10,usb_3,2023-01-12 08:33:00,2023-01-12 09:53:00
user5,usb_1,2023-01-12 11:32:00,2023-01-12 13:21:00
user18,usb_1,2023-01-12 14:22:00,2023-01-12 14:52:00
user7,usb_2,2023-01-12 09:21:00,2023-01-12 09:50:00
user16,usb_4,2023-01-13 17:44:00,2023-01-13 18:31:00
user19,usb_5,2023-01-13 13:39:00,2023-01-13 14:22:00
user14,usb_3,2023-01-13 10:06:00,2023-01-13 11:09:00
user2,usb_4,2023-01-13 11:58:00,2023-01-13 12:03:00
user8,usb_2,2023-01-13 15:39:00,2023-01-13 16:11:00
user8,usb_4,2023-01-13 13:51:00,2023-01-13 15:30:00
user13,usb_2,2023-01-13 14:11:00,2023-01-13 16:01:00
user12,usb_1,2023-01-14 09:22:00,2023-01-14 09:30:00
user18,usb_1,2023-01-14 10:18:00,2023-01-14 11:19:00
user19,usb_3,2023-01-15 08:01:00,2023-01-15 08:31:00
user7,usb_3,2023-01-15 10:14:00,2023-01-15 12:12:00
user9,usb_2,2023-01-15 13:54:00,2023-01-15 15:09:00
user6,usb_2,2023-01-16 08:11:00,2023-01-16 10:03:00
user9,usb_1,2023-01-16 08:53:00,2023-01-16 10:24:00
user5,usb_4,2023-01-16 18:50:00,2023-01-16 20:48:00
user11,usb_2,2023-01-17 12:29:00,2023-01-17 13:04:00
user12,usb_3,2023-01-17 18:10:00,2023-01-17 19:22:00
user20,usb_4,2023-01-18 09:07:00,2023-01-18 09:30:00
user5,usb_2,2023-01-18 11:34:00,2023-01-18 12:27:00
user12,usb_3,2023-01-18 17:27:00,2023-01-18 18:53:00
user8,usb_1,2023-01-18 17:37:00,2023-01-18 18:06:00
user18,usb_3,2023-01-18 10:20:00,2023-01-18 10:56:00
user2,usb_3,2023-01-18 10:54:00,2023-01-18 12:04:00
user19,usb_4,2023-01-18 11:46:00,2023-01-18 12:01:00
user16,usb_5,2023-01-18 09:10:00,2023-01-18 10:20:00
user17,usb_3,2023-01-19 15:33:00,2023-01-19 16:37:00
user6,usb_3,2023-01-19 13:33:00,2023-01-19 15:06:00
user16,usb_4,2023-01-19 15:17:00,2023-01-19 16:36:00
user13,usb_5,2023-01-19 18:02:00,2023-01-19 18:33:00
user8,usb_2,2023-01-19 15:55:00,2023-01-19 16:30:00
user7,usb_3,2023-01-20 14:56:00,2023-01-20 15:49:00
user19,usb_2,2023-01-20 13:16:00,2023-01-20 14:31:00
user3,usb_2,2023-01-20 09:18:00,2023-01-20 10:19:00
user17,usb_3,2023-01-20 11:37:00,2023-01-20 11:47:00
user15,usb_5,2023-01-20 17:21:00,2023-01-20 18:20:00
user15,usb_4,2023-01-21 14:23:00,2023-01-21 16:10:00
user16,usb_3,2023-01-21 12:24:00,2023-01-21 12:32:00
user6,usb_4,2023-01-21 11:16:00,2023-01-21 12:43:00
user3,usb_3,2023-01-21 09:18:00,2023-01-21 11:10:00
user17,usb_5,2023-01-21 16:41:00,2023-01-21 16:56:00
user9,usb_2,2023-01-22 09:07:00,2023-01-22 09:21:00
user12,usb_1,2023-01-22 16:12:00,2023-01-22 16:59:00
user7,usb_3,2023-01-22 12:19:00,2023-01-22 13:59:00
user9,usb_2,2023-01-22 17:08:00,2023-01-22 19:02:00
user18,usb_3,2023-01-22 08:49:00,2023-01-22 09:32:00
user10,usb_3,2023-01-22 14:25:00,2023-01-22 16:15:00
user19,usb_1,2023-01-22 15:41:00,2023-01-22 16:51:00
user5,usb_4,2023-01-22 11:14:00,2023-01-22 12:51:00
user7,usb_4,2023-01-23 11:33:00,2023-01-23 12:53:00
user18,usb_4,2023-01-23 15:21:00,2023-01-23 17:07:00
user3,usb_3,2023-01-23 11:27:00,2023-01-23 13:10:00
user14,usb_2,2023-01-23 15:28:00,2023-01-23 17:22:00
user18,usb_1,2023-01-23 13:08:00,2023-01-23 14:26:00
user5,usb_3,2023-01-23 08:31:00,2023-01-23 10:19:00
user12,usb_3,2023-01-23 11:26:00,2023-01-23 12:25:00
user13,usb_5,2023-01-24 12:20:00,2023-01-24 13:40:00
user1,usb_5,2023-01-24 08:59:00,2023-01-24 09:21:00
user5,usb_3,2023-01-24 17:40:00,2023-01-24 19:27:00
user20,usb_5,2023-01-24 17:55:00,2023-01-24 18:50:00
user13,usb_2,2023-01-24 14:04:00,2023-01-24 15:17:00
user13,usb_2,2023-01-24 15:06:00,2023-01-24 15:53:00
user19,usb_4,2023-01-24 18:57:00,2023-01-24 19:40:00
user6,usb_1,2023-01-25 18:35:00,2023-01-25 19:02:00
user2,usb_5,2023-01-25 15:01:00,2023-01-25 15:29:00
user3,usb_4,2023-01-26 12:13:00,2023-01-26 12:47:00
user10,usb_5,2023-01-26 09:29:00,2023-01-26 09:41:00
user12,usb_5,2023-01-26 08:10:00,2023-01-26 08:56:00
user14,usb_4,2023-01-27 10:07:00,2023-01-27 10:28:00
user18,usb_4,2023-01-27 15:47:00,2023-01-27 16:00:00
user13,usb_2,2023-01-27 10:55:00,2023-01-27 11:26:00
user10,usb_4,2023-01-27 18:30:00,2023-01-27 18:55:00
user20,usb_5,2023-01-27 12:37:00,2023-01-27 13:07:00
user17,usb_4,2023-01-27 12:12:00,2023-01-27 12:17:00
user5,usb_4,2023-01-27 09:52:00,2023-01-27 10:48:00
user20,usb_2,2023-01-27 16:21:00,2023-01-27 17:38:00
user15,usb_4,2023-01-28 17:02:00,2023-01-28 18:41:00
user3,usb_3,2023-01-28 18:56:00,2023-01-28 19:59:00
user12,usb_3,2023-01-28 14:39:00,2023-01-28 16:29:00
user6,usb_4,2023-01-28 11:11:00,2023-01-28 13:11:00
user20,usb_4,2023-01-28 15:24:00,2023-01-28 16:53:00
user19,usb_1,2023-01-29 14:44:00,2023-01-29 14:54:00
user8,usb_2,2023-01-29 12:56:00,2023-01-29 14:21:00
user18,usb_3,2023-01-29 18:58:00,2023-01-29 19:11:00
user7,usb_4,2023-01-30 14:48:00,2023-01-30 16:03:00
user4,usb_3,2023-01-30 09:48:00,2023-01-30 10:06:00
user17,usb_3,2023-01-30 14:28:00,2023-01-30 14:54:00
user9,usb_2,2023-01-30 16:02:00,2023-01-30 17:06:00
user1,usb_1,2023-01-30 18:44:00,2023-01-30 20:15:00
user15,usb_4,2023-01-30 13:47:00,2023-01-30 14:43:00
user7,usb_4,2023-01-30 08:00:00,2023-01-30 08:37:00
user13,usb_2,2023-01-21 08:01:00,2023-01-21 08:11:00
user20,usb_2,2023-01-04 08:01:00,2023-01-04 08:11:00
user7,usb_4,2023-01-07 08:01:00,2023-01-07 08:11:00
